run,removed_count,retained_count,fit_max,fit_mean,heldout_max,heldout_mean,heldout_converged
greedy,0,297,0.0,0.0,0.0,0.0,True
greedy,1,296,0.0,0.0,0.0,0.0,True
greedy,2,295,0.0,0.0,0.0,0.0,True
greedy,3,294,0.0,0.0,0.0,0.0,True
greedy,4,293,0.0,0.0,0.0,0.0,True
greedy,5,292,0.0,0.0,0.0,0.0,True
greedy,6,291,0.0,0.0,0.0,0.0,True
greedy,7,290,0.0,0.0,0.0,0.0,True
greedy,8,289,0.0,0.0,0.0,0.0,True
greedy,9,288,0.0,0.0,0.0,0.0,True
greedy,10,287,0.0,0.0,0.0,0.0,True
greedy,11,286,0.0,0.0,0.0,0.0,True
greedy,12,285,0.0,0.0,0.0,0.0,True
greedy,13,284,0.0,0.0,0.0,0.0,True
greedy,14,283,0.0,0.0,0.0,0.0,True
greedy,15,282,0.0,0.0,0.0,0.0,True
greedy,16,281,0.0,0.0,0.0,0.0,True
greedy,17,280,0.0,0.0,0.0,0.0,True
greedy,18,279,0.0,0.0,0.0,0.0,True
greedy,19,278,0.0,0.0,0.0,0.0,True
greedy,20,277,0.0006607066605459842,0.0003960611943526239,0.0005401439744212426,0.00036298096085310465,True
greedy,21,276,0.0023077791371208076,0.001935992106153023,0.0019729687784054415,0.0016148929852217815,True
greedy,22,275,0.004073110479150723,0.0028070125333734563,0.003595495612390809,0.00245912144717202,True
greedy,23,274,0.005388421023596406,0.004522259094898346,0.005036094692426918,0.0038621806794523947,True
greedy,24,273,0.007594297215538172,0.006357246215380456,0.006570850668449214,0.005400114227635419,True
greedy,25,272,0.010295903991388893,0.008812601877922571,0.008829500925984867,0.007400627657467021,True
greedy,26,271,0.012949692015198447,0.010367812507597635,0.010700170383734482,0.008651369865812275,True
greedy,27,270,0.01492054810803553,0.01265699182723982,0.013842318729221948,0.01089670310057552,True
greedy,28,269,0.01600975322885348,0.013435336400509581,0.014776935872654433,0.012075092840895592,True
greedy,29,268,0.014916721912137521,0.013648576014233598,0.013957587433470834,0.011852173706989358,True
greedy,30,267,0.01709581048773516,0.015681468076870587,0.015891492643942923,0.013409340679930675,True
greedy,31,266,0.02064206145287532,0.018732762342983336,0.01969386306835172,0.01599154654552767,True
greedy,32,265,0.023904286733284513,0.02150278446935232,0.022093042524237817,0.018329078917847103,True
greedy,33,264,0.02737574107809939,0.025219058185762113,0.026126300763978667,0.02159146429893243,True
greedy,34,263,0.03210279390156492,0.028020972827951404,0.03338210679492312,0.024351681774964412,True
greedy,35,262,0.035456400219282216,0.028012855262172565,0.034367512608579634,0.024200519035781968,True
greedy,36,261,0.03371106140953241,0.029623499319680224,0.03272284637497037,0.025605334030632827,True
greedy,37,260,0.03426323823767848,0.033015638424098374,0.034455852134599785,0.028557042383688655,True
greedy,38,259,0.0393076647671611,0.03630289678391394,0.040029492482213186,0.031698709946371424,True
greedy,39,258,0.03988586695283215,0.03612422633172227,0.03609005300696861,0.03046420805316506,True
greedy,40,257,0.04417144009057208,0.038890471276429826,0.04070951076982562,0.03281582980195551,True
greedy,41,256,0.04489168706375037,0.03098202773875724,0.038104338319861326,0.024078844354698,True
greedy,42,255,0.03147792210774433,0.02781486168057044,0.029302434358393456,0.025069712937107653,True
greedy,43,254,0.033287948528128754,0.030563954797033718,0.03175267775757595,0.02832134404272028,True
greedy,44,253,0.03616668986036506,0.033476613889158645,0.03428057598943789,0.03120322821347986,True
greedy,45,252,0.039293784327492226,0.03656275117496143,0.037416176226858555,0.03388656071665631,True
greedy,46,251,0.04175258848637269,0.03947909639368192,0.039997552713726806,0.03631231075729783,True
greedy,47,250,0.04492933059610191,0.04268780753680427,0.044641960175760734,0.03910342122933184,True
greedy,48,249,0.04935574166838198,0.046697005696787225,0.05002067986426132,0.042793919361856864,True
static_severity,0,297,0.0,0.0,0.0,0.0,True
static_severity,1,296,0.0,0.0,0.0,0.0,True
static_severity,2,295,0.0,0.0,0.0,0.0,True
